Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score,Creator_Segment,Growth_Score
208,Rajshri,0.1220850480109739,0.0135699586914315,3863,Music,2006,20,0.0037132018081553,0.0102704371826346,4.91,Growing Creator,6.14
209,Blippi - Educational Videos for Kids,0.058213305898491,0.0134298008045891,591,Education,2014,12,0.0244074663211329,0.0025903871666234,2.97,Stable Creator,8.39
210,Marshmello,0.224537037037037,0.0133958171708599,410,Entertainment,2015,11,0.035179957047658,0.0019511512138725,8.99,Stable Creator,15.66
211,Genierock,0.0479252400548696,0.0132758721439593,1623,Music,2008,18,0.0088464860680183,0.0047741400956607,2.32,Growing Creator,4.28
212,infobells - Telugu,0.0997942386831275,0.0129306511247434,460,Education,2014,12,0.0311405444403277,0.0020077565480819,4.53,Stable Creator,10.03
213,CalvinHarrisVEVO,0.034636488340192,0.0128513328777178,174,Music,2009,17,0.0822853751352181,0.0005081432991013,3.25,Growing Creator,4.28
214,Saregama Music,0.1233710562414266,0.0122976986607402,6796,Entertainment,2013,13,0.0020569298154208,0.0278624606610699,5.15,Stable Creator,10.7
215,The Chainsmokers,0.0805041152263374,0.0119576733692787,166,Music,2012,14,0.0851247434996416,0.0005947025724698,4.89,Stable Creator,7.96
216,Fox News,0.0282064471879286,0.0119386650604811,89842,News & Politics,2006,20,0.0001236598993638,0.2397085957394898,4.94,Growing Creator,7.31
217,Trap Nation,0.1147976680384087,0.0118827564877681,2626,Music,2012,14,0.0053435847712363,0.009972704676802,4.63,Stable Creator,9.47
218,Asianet,0.0217764060356652,0.0118771190559948,109018,Entertainment,2008,18,9.587262379969954e-05,0.3232047521987899,5.97,Growing Creator,9.41
219,Shorts Break,0.0693587105624142,0.0116663888537946,371,Comedy,2021,5,0.0379050896144788,0.003921987221519,3.59,Stable Creator,13.14
220,BeyoncéVEVO,0.0389231824417009,0.011648207704602,168,Music,2009,17,0.0837250517897576,0.0004893065660366,3.39,Growing Creator,4.42
221,Henrique e Juliano,0.0496399176954732,0.0115948697247591,315,Music,2009,17,0.044602188289805,0.0009508065261207,2.99,Growing Creator,4.85
222,Michael Jackson,0.1010802469135802,0.0110820951845435,15,Music,2005,21,0.930157220347453,0.0,22.47,Elite Creator,4.38
223,Thairath Online,0.0509259259259259,0.0109531871987811,230046,News & Politics,2010,16,2.6893181423425824e-05,0.76731975937419,13.62,Elite Creator,18.8
224,Tarang TV,0.0141460905349794,0.0109399854375918,44772,Entertainment,2012,14,0.0002773357400173,0.1706415163390719,3.39,Stable Creator,7.86
225,Post Malone,0.0907921810699588,0.0107321729235574,64,Music,2011,15,0.2168344214019226,0.0001895932132745,7.84,Growing Creator,7.71
226,ZutiGang,0.0372085048010973,0.0105276735333861,1135,People & Blogs,2021,5,0.0121572959687089,0.0120770368563107,2.04,Stable Creator,11.87
227,Adele,0.1109396433470507,0.0104836326437949,15,Music,2008,18,0.9217989024266864,6.353659962284676e-06,22.63,Elite Creator,6.63
228,Turma da Mônica,0.0637860082304526,0.0104597617099062,1135,Film & Animation,2012,14,0.0121447610158973,0.0042887204745421,2.85,Stable Creator,7.31
229,TRANS7 OFFICIAL,0.0890775034293552,0.0104414919927124,84587,Entertainment,2014,12,0.0001297243197756,0.376167802701068,9.08,Stable Creator,14.39
230,KarolGVEVO,0.0,0.010357566225302,66,Music,2016,10,0.2090735991514756,0.0003141249485353,4.5,Stable Creator,7.19
